game_id,platform_id
10,1
10,2
10,3
20,1
20,2
20,3
30,1
30,2
30,3
40,1
40,2
40,3
50,1
50,2
50,3
60,1
60,2
60,3
70,1
70,2
70,3
80,1
80,2
80,3
240,1
240,3
300,1
300,3
320,1
320,3
360,1
360,3
440,1
440,3
500,3
550,1
550,3
570,1
570,2
570,3
730,1
730,3
1690,3
3010,3
3020,3
3050,3
3310,2
3310,3
3530,3
3600,2
3600,3
6800,3
6810,3
6830,3
6840,3
7000,3
8000,3
8140,3
9900,3
10270,3
11590,3
12390,3
12430,3
12770,3
12790,3
12830,3
17500,1
17500,3
20900,2
20900,3
20920,1
20920,2
20920,3
23400,3
23450,3
23490,3
24010,3
29900,3
32610,3
33110,3
33120,3
33130,3
33520,3
33570,3
33620,3
33660,3
33670,3
35130,3
35700,1
35700,2
35700,3
38230,3
39210,3
40400,1
40400,2
40400,3
40420,1
40420,2
40420,3
40700,2
40700,3
40720,2
40720,3
40950,3
40960,3
40970,3
40980,3
40990,3
42120,3
43500,3
46520,3
47400,3
47410,3
50130,3
57620,3
57650,3
57680,3
57690,3
57700,3
65800,3
70600,3
70640,3
91100,3
98500,3
98900,3
105600,1
105600,2
105600,3
107100,1
107100,2
107100,3
107410,2
107410,3
109600,3
111800,1
111800,3
200170,3
200210,2
200210,3
200550,3
200670,3
201490,3
204450,3
205610,3
206230,3
206250,3
206370,1
206370,2
206370,3
206440,1
206440,2
206440,3
207140,1
207140,2
207140,3
207610,2
207610,3
207690,2
207690,3
208520,3
209330,1
209330,2
209330,3
211010,3
211500,3
211820,1
211820,2
211820,3
212070,1
212070,2
212070,3
212200,3
214340,1
214340,2
214340,3
214590,3
214770,1
214770,2
214770,3
215280,3
215630,3
215830,3
217200,3
217690,1
217690,3
218620,1
218620,3
218680,3
221100,3
221180,1
221180,2
221180,3
222730,1
222730,2
222730,3
223220,3
223750,3
224480,1
224480,2
224480,3
224960,3
224980,3
225000,3
225020,3
225300,3
225320,3
225360,3
227020,3
227300,1
227300,2
227300,3
228320,1
228320,2
228320,3
230210,1
230210,2
230210,3
230410,3
230860,1
230860,2
230860,3
232090,3
232890,3
232970,3
233840,1
233840,2
233840,3
234140,3
234330,3
234370,1
234370,2
234370,3
234490,2
234490,3
235540,3
235980,1
235980,2
235980,3
236110,3
236850,1
236850,2
236850,3
237310,3
237930,1
237930,2
237930,3
238430,3
238890,1
238890,2
238890,3
238910,1
238910,2
238910,3
239140,1
239140,2
239140,3
239430,1
239430,2
239430,3
241760,3
242700,3
242860,1
242860,2
242860,3
244210,3
244850,3
245620,1
245620,3
246840,3
246960,3
247020,1
247020,2
247020,3
247710,1
247710,3
248860,1
248860,2
248860,3
249870,3
251670,1
251670,2
251670,3
252190,3
252230,3
252750,1
252750,2
252750,3
253110,3
253610,3
254200,1
254200,2
254200,3
255710,1
255710,2
255710,3
256030,3
257510,1
257510,2
257510,3
257990,3
258220,3
261030,2
261030,3
261110,3
262150,1
262150,2
262150,3
262280,1
262280,2
262280,3
263740,1
263740,2
263740,3
264710,2
264710,3
265590,3
265930,1
265930,2
265930,3
266130,1
266130,2
266130,3
266410,3
268650,1
268650,2
268650,3
269330,3
269710,1
269710,2
269710,3
270430,2
270430,3
270550,3
270880,1
270880,2
270880,3
271360,3
271370,3
272010,3
272060,1
272060,2
272060,3
273070,1
273070,2
273070,3
273110,3
273500,3
274310,1
274310,2
274310,3
274700,2
274700,3
274980,1
274980,2
274980,3
275200,2
275200,3
275390,3
275850,2
275850,3
276340,3
276890,3
277450,3
277460,3
277470,3
278080,3
278490,3
278510,3
280140,3
280720,1
280720,2
280720,3
280790,3
281920,1
281920,2
281920,3
281990,1
281990,2
281990,3
282070,1
282070,2
282070,3
282800,1
282800,3
282900,3
283180,3
283640,1
283640,2
283640,3
286000,1
286000,2
286000,3
291130,3
291190,1
291190,2
291190,3
291550,2
291550,3
292000,3
292990,3
294040,3
295790,1
295790,2
295790,3
296870,1
296870,3
297920,3
298820,3
298830,3
298840,3
298850,3
299480,1
299480,3
299660,1
299660,2
299660,3
301280,3
302710,1
302710,2
302710,3
302730,1
302730,2
302730,3
303430,1
303430,2
303430,3
303680,3
303690,3
304050,3
304290,1
304290,2
304290,3
304430,3
304770,3
305620,1
305620,2
305620,3
305780,3
305900,3
305980,3
306910,3
307230,3
308040,1
308040,2
308040,3
308600,1
308600,3
310470,1
310470,2
310470,3
310490,1
310490,2
310490,3
310890,1
310890,2
310890,3
311730,3
312300,1
312300,2
312300,3
312970,1
312970,2
312970,3
313700,3
314970,1
314970,2
314970,3
