game_id,genre_id
10,1
20,1
30,1
40,1
50,1
60,1
70,1
80,1
240,1
300,1
320,1
360,1
440,1
440,2
500,1
550,1
570,1
570,3
570,2
730,1
730,2
1690,3
3010,4
3020,1
3050,4
3310,5
3530,5
3600,5
6800,1
6810,1
6830,3
6840,1
7000,1
7000,6
8000,1
8000,6
8140,1
8140,6
9900,7
9900,8
9900,2
10270,8
10270,3
11590,9
12390,1
12430,5
12770,8
12790,1
12790,6
12830,1
17500,1
17500,6
17500,5
17500,10
17500,2
20900,1
20900,8
20920,8
23400,9
23400,3
23450,9
23450,3
23490,9
23490,3
24010,9
29900,1
32610,1
33110,1
33110,10
33110,8
33120,1
33120,10
33120,8
33130,1
33130,10
33130,8
33520,9
33520,3
33570,8
33570,9
33570,3
33620,1
33620,4
33660,5
33660,10
33670,8
33670,3
35130,1
35130,6
35700,1
35700,6
35700,10
38230,5
38230,9
38230,3
39210,7
39210,8
40400,10
40400,3
40420,5
40420,10
40700,6
40700,10
40720,6
40720,5
40720,10
40950,9
40950,3
40960,9
40960,3
40970,9
40970,3
40980,9
40980,3
40990,1
40990,6
42120,1
43500,9
43500,3
46520,1
46520,10
47400,9
47400,3
47410,7
47410,3
47410,2
50130,1
57620,3
57650,8
57650,3
57680,1
57680,6
57690,9
57690,3
57700,1
57700,5
57700,10
65800,1
65800,10
65800,8
65800,3
70600,3
70640,3
91100,10
91100,4
98500,1
98500,10
98900,1
98900,5
98900,10
98900,3
105600,1
105600,6
105600,10
105600,8
107100,1
107100,10
107100,8
107410,1
107410,9
107410,3
109600,1
109600,6
109600,7
109600,8
109600,2
111800,6
111800,5
111800,10
111800,3
200170,3
200210,1
200210,6
200210,10
200210,7
200210,8
200210,2
200550,8
200550,9
200550,3
200670,3
201490,9
201490,3
204450,1
205610,1
205610,9
205610,3
206230,1
206250,1
206250,10
206250,8
206370,1
206370,10
206440,6
206440,10
206440,8
207140,1
207140,5
207140,10
207140,4
207140,11
207610,6
207690,6
207690,5
207690,10
208520,9
208520,3
209330,1
209330,6
209330,10
211010,1
211010,10
211010,8
211500,4
211500,9
211500,11
211500,2
211820,1
211820,6
211820,5
211820,10
211820,8
212070,1
212070,6
212070,7
212070,8
212070,9
212070,2
212200,1
212200,6
212200,5
212200,7
212200,8
212200,9
212200,2
214340,6
214340,10
214590,1
214590,10
214770,1
214770,6
214770,10
215280,1
215280,6
215280,7
215280,8
215280,2
215630,1
215630,6
215630,8
215830,1
215830,7
215830,8
215830,2
217200,3
217690,6
217690,10
218620,1
218620,8
218680,6
218680,5
218680,3
221100,1
221100,6
221100,7
221180,10
221180,3
222730,10
222730,9
222730,3
223220,1
223220,10
223750,9
223750,2
224480,1
224480,6
224480,10
224960,1
224960,6
224980,1
224980,6
225000,1
225000,6
225020,1
225300,1
225300,6
225320,1
225320,6
225360,1
225360,8
227020,9
227020,3
227300,10
227300,9
228320,1
228320,6
228320,10
228320,3
230210,6
230210,10
230410,1
230410,8
230410,2
230860,1
230860,6
230860,10
230860,3
232090,1
232890,9
232890,3
232970,1
232970,5
232970,10
233840,3
234140,1
234140,6
234330,5
234330,8
234330,3
234330,2
234370,1
234370,6
234370,10
234490,1
234490,10
234490,4
235540,1
235540,10
235980,5
235980,10
236110,1
236110,10
236110,8
236110,3
236110,2
236850,9
236850,3
237310,1
237310,6
237310,5
237310,7
237310,8
237310,2
237930,1
237930,10
237930,8
238430,1
238430,6
238430,10
238890,10
238890,9
238890,3
238910,10
238910,8
238910,3
239140,1
239140,8
239430,1
239430,6
239430,10
241760,1
241760,6
241760,10
242700,1
242860,1
242860,10
242860,7
242860,9
242860,3
244210,10
244210,4
244210,9
244210,11
244850,1
244850,10
244850,9
244850,3
245620,8
245620,9
245620,3
246840,1
246840,6
246840,8
246960,1
246960,10
247020,1
247020,10
247020,9
247020,3
247710,10
247710,7
247710,9
247710,3
247710,2
248860,10
248860,8
248860,3
249870,1
249870,6
249870,5
249870,3
251670,5
251670,3
252190,10
252190,8
252190,3
252230,1
252230,6
252750,1
252750,6
252750,5
252750,10
252750,3
253110,6
253110,10
253610,1
253610,10
254200,6
254200,5
254200,10
254200,8
254200,9
254200,3
255710,9
255710,3
256030,10
256030,8
257510,1
257510,6
257510,10
257990,5
257990,10
258220,1
258220,8
261030,6
261110,1
262150,1
262150,5
262150,10
262280,8
262280,9
262280,3
263740,1
263740,10
263740,8
263740,11
264710,6
264710,10
265590,3
265930,5
265930,10
265930,9
266130,1
266130,8
266130,9
266130,3
266410,7
266410,4
266410,9
266410,11
268650,1
268650,6
268650,10
268650,9
268650,3
269330,6
269330,10
269710,1
269710,5
269710,10
269710,3
270430,1
270430,6
270430,10
270430,8
270430,3
270550,1
270550,5
270550,10
270550,3
270880,10
270880,9
271360,9
271360,3
271370,9
271370,3
272010,6
272010,5
272010,10
272010,8
272060,6
272060,10
273070,10
273070,9
273070,3
273110,1
273110,5
273110,7
273110,2
273500,1
273500,10
274310,10
274310,8
274700,10
274700,3
274980,5
274980,10
274980,9
274980,3
275200,1
275200,6
275200,10
275390,1
275390,6
275390,10
275850,1
275850,6
276340,5
276340,9
276340,11
276890,1
276890,6
276890,8
277450,3
277460,10
277460,3
277470,6
277470,10
277470,8
278080,1
278490,6
278490,5
278490,10
278490,8
278510,1
280140,6
280140,5
280140,10
280140,8
280720,10
280720,9
280720,3
280790,1
280790,6
280790,5
280790,10
280790,7
280790,8
280790,9
281920,1
281920,6
281920,10
281990,9
281990,3
282070,6
282070,10
282070,9
282800,10
282800,3
282900,8
282900,3
283180,6
283180,10
283640,1
283640,10
283640,8
286000,1
286000,5
286000,10
286000,3
291130,1
291130,6
291130,5
291130,10
291190,10
291190,8
291190,3
291550,1
291550,10
291550,2
292000,1
292000,10
292000,12
292990,3
294040,1
294040,6
294040,5
294040,10
294040,8
295790,1
295790,6
295790,5
295790,10
296870,6
296870,5
296870,10
297920,9
297920,3
298820,6
298820,5
298820,10
298820,8
298830,6
298830,5
298830,10
298830,8
298840,6
298840,5
298840,10
298840,8
298850,6
298850,5
298850,10
298850,8
299480,1
299480,10
299660,1
299660,5
299660,10
301280,1
301280,10
302710,1
302710,5
302710,10
302710,4
302730,6
302730,5
302730,10
303430,1
303430,6
303430,5
303430,10
303680,1
303680,6
303680,8
303690,1
303690,6
303690,8
304050,1
304050,6
304050,5
304050,7
304050,8
304050,2
304290,10
304290,8
304430,1
304430,6
304430,10
304770,1
304770,7
304770,9
304770,11
304770,3
305620,6
305620,10
305620,9
305620,3
305780,6
305780,10
305900,1
305900,5
305900,10
305900,2
305980,1
306910,1
306910,6
306910,8
306910,2
307230,5
307230,10
307230,3
308040,1
308040,5
308040,10
308600,1
308600,5
308600,10
308600,2
308600,12
310470,9
310470,3
310490,9
310490,3
310890,1
310890,10
310890,8
310890,3
311730,1
312300,10
312300,8
312970,6
313700,5
313700,10
314970,10
314970,3
314970,2
315850,1
315850,5
315850,10
316600,1
316600,10
317320,6
317320,10
317360,1
317360,10
317360,2
317510,1
317510,5
318100,1
318100,5
318100,10
318100,7
318100,3
320300,4
320300,9
320340,6
320340,10
320340,9
320340,3
321160,5
321160,10
321160,11
321890,6
321890,5
321890,10
321890,8
322290,1
322290,6
322290,10
322290,8
322330,1
322330,6
322330,10
322330,8
322330,9
322330,3
322520,1
326180,6
326180,5
326180,10
328640,1
328640,6
328640,10
329110,1
329110,6
329110,5
329110,8
329110,3
329110,2
329970,8
329970,9
329970,3
330370,1
330370,5
330370,9
331430,6
331430,5
331430,10
331430,8
331430,3
331470,6
331470,5
331470,10
331470,2
331920,9
332380,6
332380,5
332380,10
332380,8
332390,6
332390,5
332390,10
332390,8
332390,3
332400,1
332400,6
332400,5
332400,10
332400,8
332400,3
332410,6
332410,5
332410,10
332410,8
332570,1
332570,6
332570,10
332570,12
333300,6
333300,10
333300,8
333300,3
334270,10
